ID	GSM442435	GSM442437	GSM442538	GSM442540	GSM442567	GSM442568	GSM463624	GSM463625	GSM510424	GSM510425	GSM510426	GSM510427	GSM510428	GSM510429	GSM510430	GSM510431	GSM510483	GSM510484	GSM510485	GSM510487	GSM510488	GSM510489	GSM510490	GSM510491	GSM510492	GSM510493	GSM510494	GSM510495	GSM510496	GSM510497.x	GSM510498	GSM510499	GSM510500	GSM510501	GSM510502	GSM510503	GSM510504	GSM510505	GSM510506	GSM510497.y	GSM730634	GSM730635	GSM730636	GSM730637.x	GSM730638	GSM730639	GSM730640	GSM730641	GSM730642	GSM561031	GSM720644	GSM730655	GSM730637.y	GSM730657	GSM730658	GSM730659	GSM835124	GSM835125	GSM835126	GSM730643	GSM1429347
DR_0001	0.730736286	0.292681716	-0.066741597	0.18401035	0.077511858	0.400070793	NA	NA	-0.9568777	-1.0068951	-0.6421194	-0.7165537	-0.9217901	-0.7628174	-0.7590151	-1.0958977	-0.9128041	-0.69177055	-0.46079636	-0.9830961	-0.94870853	-0.62210083	-0.36154175	0.02136898	0.16952515	0.4668517	-0.81031704	0.2226882	0.092704296	-4.1957564	0.285069	-0.48856068	-0.17705584	-0.7508037	-1.4763076	0.21421623	0.0765872	-0.96994551	-1.2719178	-4.1957564	-0.7122462	-1.5865257	-1.5273477	-1.1963528	-1.0467608	-0.9876135	-0.35294032	-0.51683325	0.30592316	NA	-0.21773025	-0.18061182	-1.1963528	1.0168703	0.41062805	0.16834308	-0.033	-1.356	-0.386	0.34873617	0.834
DR_0002	0.429412885	0.118665264	0.218170922	-0.117726939	-0.433339968	0.073288242	0.251269015	-0.312832	0.029601097	-0.07940388	0.09431648	0.27168655	0.10948658	-0.3747568	-0.3433771	-0.13142967	0.7225437	-0.20773363	0.22315025	0.13858032	0.15430927	0.39923096	0.5947828	0.75496817	0.898664	-0.009523869	0.4883852	1.0375252	0.8878622	0.42213917	0.12636566	0.6409192	0.78616	-0.14684868	-0.15222931	1.0390844	0.9917364	-0.96992987	0.30922413	0.42213917	-0.47601923	0.84129053	0.72687364	0.84848285	0.75125504	0.72003347	-0.3297115	-0.4322796	-0.46313155	NA	-0.14318503	-0.054895803	0.84848285	-0.068644226	0.3187492	0.09141806	-0.632	-0.893	-0.565	-0.43036926	1.061
DR_0003	0.20111039	NA	NA	NA	NA	0.097565117	NA	NA	1.5910478	1.5968413	2.2118406	1.9491715	1.3968058	2.0240433	1.0812259	1.3047457	2.6323094	2.1950045	2.5175786	2.1670084	2.4187226	2.131639	2.7418113	-0.48959255	-0.47576904	-1.2973104	-0.9038005	-0.16487694	-0.21445751	-0.56266356	-0.8356886	0.5471916	0.7047806	-0.43219757	-0.31040907	1.1078548	0.9864664	-0.96994552	-0.17992783	-0.56266356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.123	-0.78	-0.727	NA	1.143
DR_0004	0.199411743	-0.473604878	-0.106909935	-0.221680581	NA	0.050944329	0.648285623	-0.0449775	0.41422558	0.26357555	0.0481596	0.2680092	-0.07552433	0.37422752	0.23124695	-0.004796982	0.5709071	0.61712503	0.6585326	0.38292217	0.44494247	0.08525181	0.26678562	-1.6728959	-1.5456238	0.21401298	-0.5690706	-1.16011	0.21235466	0.09975815	-1.826005	-2.8012705	-1.2049086	-2.233738	-0.1560533	-0.289639	0.4562347	-0.96992988	1.3006864	0.09975815	0.9286091	0.7524436	0.9472976	0.9142681	1.2112939	1.1467053	0.59529656	0.64531636	1.0167884	-0.130359307	-0.18940815	-0.21914776	0.9142681	0.3397537	0.38030693	0.020048738	-1.351	0	-0.667	0.25018507	1.513
DR_0005	-0.360756526	-0.013736173	-0.077317323	0.056463641	-0.320003948	0.194132232	-1.146434561	-0.00370657	-0.8901267	-1.0782318	-1.0797176	-0.9118681	-0.63376045	1.5166025	2.0703442	-0.5468559	-1.1255255	-1.1301317	-0.6512687	-0.3021326	-0.60272694	0.26321888	0.000488	-0.7343278	-0.8679366	-1.5802002	-2.3826318	-0.75773764	-0.9473543	-3.0888605	-2.3522873	-0.9702935	-0.99630547	-0.2811327	-1.078903	-1.0185308	-1.3451071	-0.96992961	-4.205065	-3.0888605	-0.2323212	-0.6037993	-0.7294682	-1.3231659	-0.96501464	-1.023267	-1.3090351	-1.3536762	0.09645641	0.101294796	0.10142639	-0.039732486	-1.3231659	-0.4101741	-0.3527303	-1.1242224	-0.811	-0.256	-0.295	0.48757482	0.932
DR_0006	0.04790054	-0.304120134	0.314755154	NA	0.010331478	-0.075742286	-0.202197431	-0.338563	0.8042078	0.87258816	1.1449747	0.8598995	0.86733437	0.75614357	0.96592426	1.061841	0.9388628	0.91557217	1.2803593	1.6746283	1.6500959	1.6187057	1.4277868	-0.36798954	-0.2852354	0.21423864	-0.035223484	-0.12003422	-0.22493553	-0.10862446	-0.25414276	-0.33625317	-0.22772312	0.007472992	-0.5666461	0.21710777	0.12282562	-0.96994525	-0.48916817	-0.10862446	-0.010886252	1.2947042	1.2647872	1.1009911	0.89647925	0.9751694	0.07140029	0.19877857	-0.36138734	NA	0.15160233	-0.05831714	1.1009911	-0.22413614	-0.17136309	-0.016082704	-0.597	-0.328	-0.657	-0.521741	0.971
DR_0007	-0.061775327	NA	0.094174976	NA	-0.17818966	-0.072378511	0.181196768	-0.490232	0.01398468	0.05290222	0.32297897	0.08518219	-0.23666286	0.23717594	0.17870903	-0.2911358	0.1969223	0.24736786	0.5480232	0.04052353	0.06539059	-0.08704376	-0.02824974	1.0085459	1.3366737	1.252789	1.1077714	0.5573063	0.829649	0.78402805	0.7727413	0.9043026	1.2244425	1.025527	1.02881	1.4547663	1.3233452	-0.96994698	0.6721983	0.78402805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.88	-1.617	NA	NA	0.946
DR_0008	-0.241899903	-0.211800747	0.001357328	-0.076874126	-0.339004695	0.107610699	-0.000438599	-0.998603	0.24344254	0.23418903	0.331748	0.32434654	0.70538044	0.8942933	1.2289414	0.6714802	0.02463913	0.03233528	1.2096448	0.5691757	0.52371025	0.8817358	1.2188377	-3.6644878	-3.7709022	-3.8064222	-4.558506	-3.6064935	-3.3580675	-3.3873734	-4.68721	-2.6875196	-2.7987232	-3.732617	-3.7831488	-2.6102004	-2.8064175	-0.96993523	-5.637134	-3.3873734	0.8734332	0.7147936	0.55801153	0.55341625	0.80235475	0.8742748	1.0033283	1.1704204	0.7398883	NA	-0.22967328	-0.36144304	0.55341625	0.7595129	-0.19629142	-0.071650565	-0.646	-0.415	-0.405	1.0369302	0.967
DR_0009	0.270496975	0.163576739	0.055192057	0.068730839	NA	NA	NA	NA	-1.6227665	-1.5932617	-1.5732145	-1.7188568	-1.283351	-1.4619331	-1.5886803	-1.5298796	-1.2154632	-0.8656931	-1.6321812	-1.4493542	-1.4262199	-1.5869999	-1.5155125	-0.568099	-0.5586653	0.006690979	-0.11863613	-0.605422	-0.5076418	-0.00805378	0.13926888	-0.28110886	-0.1942606	-0.1051054	0.03333378	-0.4062271	-0.4452572	-0.96994553	-0.038988113	-0.00805378	-0.986199	-1.3866296	-1.3102572	-1.1237934	-1.1765027	-1.313129	-0.76261157	-0.9289854	-0.4030022	-0.011943692	-0.28641143	-0.06911026	-1.1237934	0.2962915	0.27818877	0.006705105	-0.375	-0.737	-0.54	-0.30689526	1.14
DR_0011	0.012117573	0.399061878	0.253325789	-0.268439788	-0.054516064	-0.195466815	0.334810262	-0.333372	-0.37036705	-0.31559086	-0.099936485	-0.26591396	-0.961915	-0.54768753	-0.48020363	-1.0431147	-0.76458454	-0.7384167	-0.1610117	-0.2134676	-0.038137436	-0.43672276	-0.33024788	3.0924325	2.8974276	3.350601	3.4867282	2.1749053	2.612215	3.0580707	3.0594077	3.0481114	2.8830285	3.000094	2.6501694	3.0571218	2.938923	-0.96994554	3.5156097	3.0580707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.445	0.053	-0.935	NA	1.1
